Orig_Zip,Dest_Zip,Orig_Lon,Orig_Lat,Dest_Lon,Dest_Lat,Transit
W2 1LW,E1W 3AJ,-0.174065,51.510774,-0.174065,51.510774,2678
N4 3NU,E14 3HD,-0.109457,51.495525,-0.109457,51.495525,3183
N2 8BS,N22 5HT,-0.168404,51.605482,-0.168404,51.605482,2961
E14 3AB,E14 9HW,-0.017365000000000002,51.498331,-0.017365000000000002,51.498331,876
E1 0LW,N18 1HP,-0.048188999999999996,51.613063000000004,-0.048188999999999996,51.613063000000004,3285
E1 0BL,SW11 2SG,-0.060036,51.467087,-0.060036,51.467087,2664
SW11 6LT,N4 1JP,-0.160082,51.578825,-0.160082,51.578825,3810
SW11 6JB,SW17 9TD,-0.16458399999999998,51.423448,-0.16458399999999998,51.423448,2426
NW6 7UN,W10 5QE,-0.19911900000000002,51.523598,-0.19911900000000002,51.523598,1625
W12 8EA,W8 5JB,-0.228052,51.496364,-0.228052,51.496364,1919
E10 5FF,W6 0BW,-0.011392,51.497933,-0.011392,51.497933,4293
W12 8DS,SE14 5RY,-0.22542800000000002,51.483368,-0.22542800000000002,51.483368,3275
W10 5UA,N12 9DY,-0.20946399999999998,51.613056,-0.20946399999999998,51.613056,4030
E10 7HF,EC1N 7SN,-0.016234000000000002,51.521812,-0.016234000000000002,51.521812,3744
SW7 1RH,SE5 9QU,-0.163876,51.472766,-0.163876,51.472766,3197
SW17 9HL,E10 6RJ,-0.16275499999999998,51.566642,-0.16275499999999998,51.566642,4292
N15 5JA,N21 3QJ,-0.085801,51.628007000000004,-0.085801,51.628007000000004,3118
W12 9NY,N15 6JX,-0.234381,51.577032,-0.234381,51.577032,3204
CR7 8JH,SE14 5DF,-0.10179500000000001,51.478993,-0.10179500000000001,51.478993,3317
SW17 9LL,N4 3HA,-0.170672,51.569654,-0.170672,51.569654,3241
SW12 0BN,NW11 9EH,-0.142688,51.573156,-0.142688,51.573156,3218
SW17 7DJ,N10 1JJ,-0.172348,51.600246999999996,-0.172348,51.600246999999996,5295
NW10 5TN,SW19 6RG,-0.222544,51.448722,-0.222544,51.448722,3615
E17 8PX,E5 8JF,-0.02047,51.557771,-0.02047,51.557771,1745
SE27 0SA,SW6 2LG,-0.106898,51.472218,-0.106898,51.472218,3152
SW2 2BE,E1 4QP,-0.11907899999999999,51.519199,-0.11907899999999999,51.519199,3355
SE22 9NE,E17 8QD,-0.069388,51.57849,-0.069388,51.57849,4613
NW6 1PH,SW16 6QR,-0.192868,51.420590000000004,-0.192868,51.420590000000004,3758
SE27 9QY,SW9 9BA,-0.08782100000000001,51.471012,-0.08782100000000001,51.471012,2466
SW8 1XD,E2 6QH,-0.122053,51.531076,-0.122053,51.531076,2900
W6 0BN,N4 3LJ,-0.23098200000000002,51.56434,-0.23098200000000002,51.56434,3463
N8 9RT,WC1N 3PF,-0.1155,51.521103000000004,-0.1155,51.521103000000004,2273
E14 6QB,E1 2QQ,-0.012938,51.51149,-0.012938,51.51149,1360
N16 5DF,N5 1AX,-0.078993,51.556606,-0.078993,51.556606,1592
E1 3JR,N22 6AD,-0.048969,51.59238,-0.048969,51.59238,3325
SW11 3TH,E14 8AX,-0.17093,51.507737,-0.17093,51.507737,3753
SE5 7SR,N12 9NL,-0.081963,51.613462,-0.081963,51.613462,5259
SW6 2NY,N7 7JE,-0.189859,51.558033,-0.189859,51.558033,3408
SE22 0PB,E3 5QG,-0.06575700000000001,51.530797,-0.06575700000000001,51.530797,3830
E14 2DA,N8 8DW,-0.001382,51.581140000000005,-0.001382,51.581140000000005,3807
N17 0NG,SE16 7TQ,-0.05947,51.494448,-0.05947,51.494448,4259
NW11 6BX,SW13 8RA,-0.19356900000000002,51.486077,-0.19356900000000002,51.486077,4480
SE25 6UB,SE13 7DQ,-0.081464,51.459771999999994,-0.081464,51.459771999999994,2760
NW6 5EN,W11 1PS,-0.189969,51.51595,-0.189969,51.51595,1299
W12 8LE,SW12 8AP,-0.216383,51.451903,-0.216383,51.451903,2801
N22 8YL,NW2 5DA,-0.11726700000000001,51.548132,-0.11726700000000001,51.548132,3960
E1 0BL,N7 0EY,-0.060036,51.555264,-0.060036,51.555264,2604
NW10 2SU,W14 8TB,-0.22791599999999998,51.493258000000004,-0.22791599999999998,51.493258000000004,2369
SW12 8PX,SW17 9JW,-0.150335,51.420412,-0.150335,51.420412,1849
N17 7PU,N18 1RL,-0.090077,51.619115,-0.090077,51.619115,1521
NW5 1DA,E1 5BU,-0.141954,51.522553,-0.141954,51.522553,3036
SE1 6HF,E3 4SU,-0.103593,51.525107,-0.103593,51.525107,1556
SW8 4HJ,SW17 7ED,-0.13552899999999998,51.44426,-0.13552899999999998,51.44426,1651
NW3 2JH,NW6 3LJ,-0.15729500000000002,51.542953999999995,-0.15729500000000002,51.542953999999995,2151
SE23 2QS,SE14 5NS,-0.043082999999999996,51.471365000000006,-0.043082999999999996,51.471365000000006,2200
N5 2JE,E1 2NH,-0.08818200000000001,51.512588,-0.08818200000000001,51.512588,1594
NW3 6JX,N18 1JH,-0.176583,51.613288,-0.176583,51.613288,3888
SE8 3HF,W9 3DG,-0.023269,51.527084,-0.023269,51.527084,4142
N10 3JY,N7 9TG,-0.142895,51.548736,-0.142895,51.548736,2550
W2 5HB,SW17 8PS,-0.193695,51.426897,-0.193695,51.426897,3829
SW6 5LW,W12 7PY,-0.20974600000000002,51.513203000000004,-0.20974600000000002,51.513203000000004,2315
E5 0EA,E10 5LT,-0.036170999999999995,51.562952,-0.036170999999999995,51.562952,1426
SE25 4ES,N11 1JJ,-0.068469,51.619493,-0.068469,51.619493,4604
SW16 4RZ,E2 8EB,-0.116729,51.534098,-0.116729,51.534098,4579
E14 3GG,E14 9LF,-0.005947999999999999,51.497471999999995,-0.005947999999999999,51.497471999999995,1095
E1 2QY,W10 6LA,-0.05701900000000001,51.518987,-0.05701900000000001,51.518987,2709
N4 4HP,SW8 1LF,-0.114764,51.480573,-0.114764,51.480573,2507
SE16 2PN,E3 4LF,-0.049432,51.516864,-0.049432,51.516864,1674
SW16 2EH,NW10 5JH,-0.129401,51.533522999999995,-0.129401,51.533522999999995,3852
SE15 4RA,SE4 1YP,-0.07115,51.460458,-0.07115,51.460458,1316
N19 3LX,N16 7UR,-0.127437,51.555501,-0.127437,51.555501,2814
N1 4DD,N15 4JF,-0.078546,51.589667,-0.078546,51.589667,2119
N15 4AS,E1 8HU,-0.067213,51.510721000000004,-0.067213,51.510721000000004,2510
N8 8EH,N8 7HL,-0.127538,51.58882,-0.127538,51.58882,840
SE26 6UT,NW5 4PR,-0.068512,51.551287,-0.068512,51.551287,4576
NW1 0JU,N19 4DL,-0.13816099999999998,51.563097,-0.13816099999999998,51.563097,1166
N10 3BE,NW3 2RU,-0.14833,51.554862,-0.14833,51.554862,2488
N11 3NW,W14 9AA,-0.149341,51.491161,-0.149341,51.491161,4224
SE5 8ND,EC1V 8DE,-0.080361,51.528578,-0.080361,51.528578,2891
SW1W 8SX,SW6 7NH,-0.149305,51.482409000000004,-0.149305,51.482409000000004,2784
W11 4TQ,E1 5DU,-0.216781,51.522648,-0.216781,51.522648,2858
SE5 9NB,N14 6BZ,-0.09512000000000001,51.630659,-0.09512000000000001,51.630659,4313
SE22 9JZ,NW2 5QT,-0.07517,51.547928999999996,-0.07517,51.547928999999996,4093
N3 2RN,SE13 7JL,-0.18037,51.460279,-0.18037,51.460279,4707
N7 0NB,E5 8RJ,-0.125247,51.561972,-0.125247,51.561972,2362
E10 6QP,SW16 2AS,-0.008148,51.430107,-0.008148,51.430107,4506
E17 6EW,W2 3AA,-0.032603,51.51318,-0.032603,51.51318,3044
SE4 1SY,N19 3XT,-0.031658,51.567484,-0.031658,51.567484,3186
E17 5JT,SE23 3SZ,-0.029526999999999998,51.444796999999994,-0.029526999999999998,51.444796999999994,4383
SE6 4XF,SW2 2JR,-0.03175,51.45219,-0.03175,51.45219,3566
N16 0RS,N1 4BA,-0.07952200000000001,51.547187,-0.07952200000000001,51.547187,1134
