Orig_Zip,Dest_Zip,Orig_Lon,Orig_Lat,Dest_Lon,Dest_Lat,Transit
N7 7ND,SW7 3BH,-0.110779,51.488533000000004,-0.110779,51.488533000000004,2343
N16 6JL,E1 0PJ,-0.063184,51.51515,-0.063184,51.51515,3331
N10 3NE,CR7 8PS,-0.145045,51.408867,-0.145045,51.408867,5028
CR4 1ET,NW3 2HS,-0.143191,51.554646000000005,-0.143191,51.554646000000005,5221
CR7 8HU,SE5 8DL,-0.1039,51.465107,-0.1039,51.465107,2358
E14 3HB,N15 3HP,-0.008731000000000001,51.586165,-0.008731000000000001,51.586165,3844
SW18 3RN,SW8 1QH,-0.17126,51.482729,-0.17126,51.482729,2125
W2 3UN,N10 3JY,-0.17680099999999999,51.583994,-0.17680099999999999,51.583994,2948
SE14 5XD,SW1P 4HP,-0.049254,51.492579,-0.049254,51.492579,2791
NW2 1UN,W14 9BG,-0.21290100000000003,51.491240000000005,-0.21290100000000003,51.491240000000005,3030
N19 5RT,W14 9DX,-0.13486099999999998,51.489975,-0.13486099999999998,51.489975,2583
SW17 9LP,NW11 0NU,-0.16588,51.577917,-0.16588,51.577917,4042
SE23 2UH,CR4 3RU,-0.05014,51.411596,-0.05014,51.411596,3668
SW8 3RQ,N3 1QQ,-0.150257,51.602851,-0.150257,51.602851,3390
SW6 7UF,E3 4SU,-0.20157,51.525107,-0.20157,51.525107,3168
E2 0QQ,SW9 9TE,-0.042266000000000005,51.465288,-0.042266000000000005,51.465288,3047
SE13 7SR,SW18 3HD,-0.019214,51.443575,-0.019214,51.443575,3877
E10 7PA,N22 6BS,-0.031625,51.59107,-0.031625,51.59107,2661
W14 0ES,SE14 5NQ,-0.22002399999999997,51.473608,-0.22002399999999997,51.473608,3216
NW2 6PN,SE13 7QJ,-0.22269499999999998,51.470772,-0.22269499999999998,51.470772,4197
NW5 2HR,SW4 8ED,-0.139241,51.454089,-0.139241,51.454089,2964
SE16 7FN,SW19 8SJ,-0.036106,51.424915999999996,-0.036106,51.424915999999996,3577
SW16 6QN,E8 4LD,-0.1481,51.538544,-0.1481,51.538544,4084
N1 4RF,SE5 8HG,-0.085187,51.46221,-0.085187,51.46221,3441
E14 2DA,NW1 9JH,-0.001382,51.544905,-0.001382,51.544905,2679
E3 5JJ,N22 7AH,-0.031111,51.601681,-0.031111,51.601681,3977
SW6 6PL,E14 0BX,-0.217996,51.509158,-0.217996,51.509158,4183
SW8 4UT,NW5 2AH,-0.138976,51.545636,-0.138976,51.545636,3176
E2 8PR,SW16 2XR,-0.064851,51.429983,-0.064851,51.429983,4301
E9 5EA,SW8 2AU,-0.038563,51.485134,-0.038563,51.485134,2576
N14 6DX,W6 7PB,-0.13146,51.497817,-0.13146,51.497817,4184
N13 4SA,E14 6ET,-0.11839100000000001,51.514806,-0.11839100000000001,51.514806,4310
N22 6HT,N22 5AG,-0.103449,51.606784000000005,-0.103449,51.606784000000005,1185
SW17 8DD,N15 6LP,-0.158909,51.576803000000005,-0.158909,51.576803000000005,3345
W2 4BB,SW16 4TT,-0.190066,51.404872,-0.190066,51.404872,3754
SW2 3BU,N17 0NX,-0.10734400000000001,51.600772,-0.10734400000000001,51.600772,3829
W9 1UR,SW2 2JR,-0.182497,51.45219,-0.182497,51.45219,2762
SW11 4GA,E17 6EQ,-0.156613,51.592434999999995,-0.156613,51.592434999999995,3556
N4 3HS,W6 0AT,-0.109945,51.499958,-0.109945,51.499958,2626
SW4 8HY,N2 0JJ,-0.132583,51.588825,-0.132583,51.588825,3641
NW2 3NH,SW3 6BU,-0.209914,51.486763,-0.209914,51.486763,3312
N16 5UF,N7 9RT,-0.090383,51.553705,-0.090383,51.553705,1625
N15 3DZ,E2 7QJ,-0.100785,51.530241,-0.100785,51.530241,3007
E1 5BG,SW4 6ET,-0.063485,51.465453000000004,-0.063485,51.465453000000004,2227
N4 1JX,E1 2PJ,-0.099393,51.512716999999995,-0.099393,51.512716999999995,3469
N16 5JE,N17 7PJ,-0.080506,51.599069,-0.080506,51.599069,1905
E3 4EH,E5 0PP,-0.02203,51.55461,-0.02203,51.55461,2705
E14 9AR,SE25 6RB,-0.021785,51.399390000000004,-0.021785,51.399390000000004,2948
NW6 2HE,E5 0ET,-0.201164,51.55535,-0.201164,51.55535,2631
SW8 2PA,SW18 5DL,-0.12933499999999998,51.441101,-0.12933499999999998,51.441101,2381
N15 6LA,SW16 2JJ,-0.071199,51.434172,-0.071199,51.434172,4000
N2 0HB,E15 2LY,-0.175375,51.539638000000004,-0.175375,51.539638000000004,3709
E9 7SR,NW6 4NN,-0.051122,51.539645,-0.051122,51.539645,3319
N17 0RD,N16 8LP,-0.055578999999999996,51.550319,-0.055578999999999996,51.550319,2872
N1 7EW,N15 6BZ,-0.096622,51.578863,-0.096622,51.578863,2941
N1 0NG,N17 8EE,-0.116182,51.607863,-0.116182,51.607863,3712
CR7 7DU,NW6 5SL,-0.108519,51.535247,-0.108519,51.535247,4198
N1 6TL,N18 1NU,-0.085891,51.618668,-0.085891,51.618668,3974
E14 7DB,E3 2ET,-0.026810000000000004,51.531036,-0.026810000000000004,51.531036,1274
E17 8JZ,W12 7PF,-0.020478,51.510566,-0.020478,51.510566,3760
SE27 0UW,SE4 2DA,-0.10238,51.455451000000004,-0.10238,51.455451000000004,2555
SW19 2NE,N7 6RR,-0.18379500000000001,51.561972999999995,-0.18379500000000001,51.561972999999995,3478
SW15 2QT,W2 4BB,-0.20507899999999998,51.514581,-0.20507899999999998,51.514581,1859
N18 2XT,SE13 7HQ,-0.067527,51.450523,-0.067527,51.450523,4576
N22 5AU,SW11 3TL,-0.10535499999999999,51.475581,-0.10535499999999999,51.475581,4595
SE16 5ND,SW16 4PP,-0.036521,51.408788,-0.036521,51.408788,4170
NW8 9HE,SW16 6QW,-0.176103,51.421087,-0.176103,51.421087,3833
N22 8PG,SE15 1BL,-0.119003,51.478758,-0.119003,51.478758,4274
N1 4DL,E9 5BE,-0.080275,51.544644,-0.080275,51.544644,1533
SW9 7JQ,NW10 3AB,-0.110048,51.538672,-0.110048,51.538672,3617
SE8 3JP,SE25 6NT,-0.021361,51.395629,-0.021361,51.395629,3821
SW18 5PW,SE5 7JD,-0.213464,51.477515999999994,-0.213464,51.477515999999994,3661
SW17 9NF,N13 6HA,-0.167147,51.611894,-0.167147,51.611894,4148
N5 1NH,SE1 4HN,-0.1044,51.494690000000006,-0.1044,51.494690000000006,2434
E1 5HF,CR7 7JN,-0.068498,51.395171999999995,-0.068498,51.395171999999995,4095
NW1 2PE,NW3 3SS,-0.137443,51.542491999999996,-0.137443,51.542491999999996,1371
SW17 9LR,SW9 7SB,-0.168714,51.470659999999995,-0.168714,51.470659999999995,2092
NW6 3HA,SW16 4JX,-0.18064000000000002,51.407385,-0.18064000000000002,51.407385,3698
