Orig_Zip,Dest_Zip,Orig_Lon,Orig_Lat,Dest_Lon,Dest_Lat,Transit
NW6 2EB,N17 7PT,-0.202096,51.599146999999995,-0.202096,51.599146999999995,2600
E10 5EL,N8 0AE,-0.011319,51.58498,-0.011319,51.58498,2152
N13 4EL,E14 6BF,-0.10142899999999999,51.517678000000004,-0.10142899999999999,51.517678000000004,5193
N15 5JA,E14 9YA,-0.085801,51.490479,-0.085801,51.490479,4539
N22 7BW,E8 3AQ,-0.12361300000000001,51.545479,-0.12361300000000001,51.545479,2421
SE16 2EE,E5 0SL,-0.060015,51.556267,-0.060015,51.556267,3197
N17 7BD,SW6 4JX,-0.08308099999999999,51.471897999999996,-0.08308099999999999,51.471897999999996,4249
SW19 8HF,SW5 9EZ,-0.189191,51.491671999999994,-0.189191,51.491671999999994,2565
SW8 2PH,NW1 1HR,-0.129188,51.529862,-0.129188,51.529862,1777
N6 6DT,E2 6LT,-0.14760399999999999,51.527884,-0.14760399999999999,51.527884,3094
SE13 7PU,CR7 8PY,-0.012045,51.406234999999995,-0.012045,51.406234999999995,4689
SW19 8EA,W14 8TB,-0.190621,51.493258000000004,-0.190621,51.493258000000004,2819
E5 9JG,SE13 7UQ,-0.054444000000000006,51.457494,-0.054444000000000006,51.457494,3859
E8 2NH,E9 7BS,-0.07,51.54244,-0.07,51.54244,1308
SW19 7JH,NW5 4BH,-0.202317,51.551598999999996,-0.202317,51.551598999999996,3734
