index,Postcode,Latitude,Longitude,Distance
10164,CR4 1GN,51.395495000000004,-0.131708,0.0
10165,CR4 1GP,51.395337,-0.131383,0.0
10166,CR4 1GR,51.404891,-0.152086,0.0
10167,CR4 1GW,51.398277,-0.144952,0.0
10168,CR4 1GX,51.398219,-0.144739,0.0
10169,CR4 1HA,51.402640999999996,-0.154808,0.0
10170,CR4 1HB,51.401559999999996,-0.152407,0.0
10171,CR4 1HD,51.400636999999996,-0.149785,0.0
10172,CR4 1HE,51.399729,-0.146357,0.0
10173,CR4 1HF,51.398872,-0.142798,0.0
10174,CR4 1HG,51.397278,-0.140965,0.0
10175,CR4 1HH,51.395608,-0.136001,0.0
10176,CR4 1HJ,51.396435,-0.13884200000000002,0.0
10177,CR4 1HL,51.403117,-0.154774,0.0
10178,CR4 1HN,51.403162,-0.153033,0.0
10179,CR4 1HP,51.394822,-0.132396,0.0
10180,CR4 1HQ,51.399496,-0.144152,0.0
10181,CR4 1HR,51.405319,-0.151249,0.0
10183,CR4 1HU,51.402091999999996,-0.151322,0.0
10184,CR4 1HW,51.401796999999995,-0.151435,0.0
10185,CR4 1HY,51.401462,-0.149062,0.0
10186,CR4 1HZ,51.401746,-0.14938099999999999,0.0
10187,CR4 1JA,51.400546999999996,-0.143506,0.0
10188,CR4 1JB,51.4014,-0.141689,0.0
10189,CR4 1JD,51.40213,-0.141228,0.0
10190,CR4 1JE,51.402561,-0.139485,0.0
10191,CR4 1JF,51.403341999999995,-0.137728,0.0
10192,CR4 1JG,51.400604,-0.14423699999999998,0.0
10193,CR4 1JH,51.403634000000004,-0.137961,0.0
10194,CR4 1JJ,51.401501,-0.14245,0.0
10195,CR4 1JL,51.401814,-0.139472,0.0
10196,CR4 1JN,51.401153,-0.14089400000000002,0.0
10197,CR4 1JP,51.398284000000004,-0.14143,0.0
10198,CR4 1JQ,51.401214,-0.14868299999999998,0.0
10199,CR4 1JS,51.398443,-0.141812,0.0
10200,CR4 1JT,51.402815999999994,-0.139736,0.0
10201,CR4 1JU,51.400154,-0.140259,0.0
10202,CR4 1JW,51.402341,-0.13755599999999998,0.0
10203,CR4 1JY,51.400515000000006,-0.140373,0.0
10204,CR4 1JZ,51.402564,-0.137975,0.0
10205,CR4 1LA,51.39855,-0.13611099999999998,0.0
10206,CR4 1LB,51.398576,-0.135449,0.0
10207,CR4 1LD,51.396809999999995,-0.13641199999999998,0.0
10208,CR4 1LE,51.396726,-0.137321,0.0
10209,CR4 1LF,51.397591999999996,-0.136352,0.0
10210,CR4 1LG,51.396858,-0.137704,0.0
10211,CR4 1LH,51.396943,-0.135702,0.0
10212,CR4 1LJ,51.397785999999996,-0.136674,0.0
10213,CR4 1LL,51.397737,-0.135311,0.0
10214,CR4 1LN,51.396366,-0.13505,0.0
10215,CR4 1LP,51.396551,-0.135345,0.0
10216,CR4 1LS,51.399375,-0.13428099999999998,0.0
10217,CR4 1LT,51.399972,-0.131079,0.0
10218,CR4 1LU,51.399771,-0.132597,0.0
10219,CR4 1LW,51.399484,-0.13149,0.0
10220,CR4 1LX,51.398389,-0.124876,0.0
10221,CR4 1LY,51.398912,-0.13511900000000002,0.0
10222,CR4 1LZ,51.399094,-0.134698,0.0
10223,CR4 1NA,51.399415000000005,-0.14302,0.0
10224,CR4 1NB,51.399389,-0.1419,0.0
10225,CR4 1ND,51.400347,-0.142206,0.0
10226,CR4 1NE,51.399087,-0.139871,0.0
10227,CR4 1NF,51.399575,-0.136055,0.0
10228,CR4 1NG,51.399401,-0.13985799999999998,0.0
10229,CR4 1NH,51.400016,-0.142895,0.0
10230,CR4 1NJ,51.399892,-0.136201,0.0
10231,CR4 1NL,51.400133000000004,-0.139497,0.0
10232,CR4 1NN,51.400523,-0.138605,0.0
10233,CR4 1NP,51.400605,-0.13805499999999998,0.0
10234,CR4 1NQ,51.399964000000004,-0.13793699999999998,0.0
10235,CR4 1NR,51.412686,-0.148536,0.0
10236,CR4 1NS,51.414343,-0.14695899999999998,0.0
10237,CR4 1NT,51.414054,-0.14691400000000002,0.0
10238,CR4 1NU,51.398599,-0.13805,0.0
10239,CR4 1NW,51.398737,-0.137685,0.0
10240,CR4 1NY,51.397591999999996,-0.138623,0.0
10241,CR4 1NZ,51.397714,-0.138963,0.0
10242,CR4 1PA,51.40055,-0.13465,0.0
10243,CR4 1PB,51.3956,-0.13101300000000002,0.0
10244,CR4 1PD,51.400739,-0.135189,0.0
10245,CR4 1PE,51.400873,-0.137397,0.0
10246,CR4 1PF,51.40098,-0.136775,0.0
10247,CR4 1PG,51.400622,-0.132968,0.0
10248,CR4 1PH,51.397603000000004,-0.128603,0.0
10249,CR4 1PJ,51.400401,-0.132615,0.0
10250,CR4 1PL,51.398228,-0.12775799999999998,0.0
10251,CR4 1PN,51.398564,-0.127931,0.0
10252,CR4 1PP,51.398272,-0.128216,0.0
10253,CR4 1PQ,51.396941,-0.129952,0.0
10254,CR4 1PR,51.397989,-0.128558,0.0
10255,CR4 1PS,51.395812,-0.13133499999999998,0.0
10256,CR4 1PU,51.396623,-0.129735,0.0
10257,CR4 1PW,51.39703,-0.129302,0.0
10258,CR4 1PY,51.396755,-0.129572,0.0
10259,CR4 1QA,51.399013000000004,-0.131854,0.0
10260,CR4 1QB,51.395909,-0.132294,0.0
10261,CR4 1QD,51.396817999999996,-0.130676,0.0
10262,CR4 1QE,51.397696999999994,-0.131661,0.0
10263,CR4 1QF,51.398026,-0.131964,0.0
10264,CR4 1QG,51.39816,-0.129658,0.0
10265,CR4 1QH,51.397213,-0.130617,0.0
10266,CR4 1QJ,51.398302,-0.13011199999999998,0.0
10267,CR4 1QL,51.396764000000005,-0.13123900000000002,0.0
10268,CR4 1QN,51.39575,-0.130216,0.0
10269,CR4 1QP,51.395195,-0.12929000000000002,0.0
10270,CR4 1QQ,51.395443,-0.13016,0.0
10271,CR4 1QR,51.396014,-0.129329,0.0
10272,CR4 1QS,51.39568,-0.12922999999999998,0.0
10273,CR4 1QT,51.396869,-0.12879100000000002,0.0
10274,CR4 1QU,51.396021999999995,-0.128135,0.0
10275,CR4 1QW,51.394433,-0.130529,0.0
10276,CR4 1QX,51.396708000000004,-0.132822,0.0
10277,CR4 1QZ,51.399128000000005,-0.132868,0.0
10278,CR4 1RA,51.397178000000004,-0.133536,0.0
10279,CR4 1RB,51.398945,-0.133235,0.0
10280,CR4 1RD,51.398218,-0.132747,0.0
10281,CR4 1RE,51.396559,-0.134194,0.0
10282,CR4 1RF,51.398433000000004,-0.133845,0.0
10283,CR4 1RH,51.394746999999995,-0.131077,0.0
10284,CR4 1RL,51.395515,-0.132986,0.0
10285,CR4 1RX,51.395866999999996,-0.13305799999999998,0.0
10286,CR4 1SA,51.404784,-0.156145,0.0
10287,CR4 1SB,51.406538,-0.155025,0.0
