Destination,Origin,Transit_Times,Lat,Lon
N8 9HN,N1 7RB,38.333333333333336,51.579321,-0.118261
E5 9JS,N1 7RB,40.96666666666667,51.561458,-0.054594
NW1 0JU,N1 7RB,22.983333333333334,51.535935,-0.13816099999999998
E5 0RU,N1 7RB,35.7,51.556498,-0.052123
SW11 5HS,N1 7RB,37.28333333333333,51.475562,-0.14854
CR4 1XN,N1 7RB,65.7,51.400046,-0.127856
E5 9QP,N1 7RB,37.333333333333336,51.557811,-0.051042
SW19 8EF,N1 7RB,65.9,51.438028,-0.197065
SW1V 3NB,N1 7RB,30.05,51.487016,-0.135905
E3 3RZ,EC1V 3SL,37.333333333333336,51.517351,-0.020311000000000003
SE1 7EQ,EC1V 3SL,28.2,51.499215,-0.116534
N15 6DA,EC1V 3SL,38.483333333333334,51.57801,-0.062547
NW5 4RH,EC1V 3SL,28.8,51.549808,-0.149912
E17 7BP,EC1V 3SL,34.416666666666664,51.585754,-0.02115
N22 6QD,EC1V 3SL,39.766666666666666,51.594899,-0.101663
N17 6SY,N1 7QH,37.083333333333336,51.598251,-0.068487
SE6 4DP,N1 7QH,61.983333333333334,51.432796,-0.035449
SE8 4NS,N1 7QH,28.666666666666668,51.478244,-0.026267
N17 0AR,N1 7QH,41.25,51.60142000000001,-0.065984
SW4 8LG,N1 7QH,43.88333333333333,51.451855,-0.133063
NW6 7UU,N1 7QH,45.266666666666666,51.53929,-0.201603
SW11 5QR,EC1V 3SN,39.666666666666664,51.469505,-0.152788
N4 2SP,EC1V 3SN,26.8,51.563195,-0.099102
W2 4PU,EC1V 3SN,38.85,51.513673,-0.192379
E9 7NQ,EC1V 3SN,29.166666666666668,51.537222,-0.054518
E3 4TD,EC1V 3SN,29.766666666666666,51.52399000000001,-0.032737
SW15 2RG,EC1V 3SN,53.45,51.458013,-0.203158
W10 6ET,EC1V 3SN,41.733333333333334,51.519165,-0.215109
N4 4PH,EC1V 3SN,29.3,51.573303,-0.108075
N7 8BA,EC2Y 8BN,24.783333333333335,51.544729,-0.11278
E1 1QB,EC2Y 8BN,18.983333333333334,51.513933,-0.063322
SE22 8PY,EC2Y 8BN,36.28333333333333,51.457832,-0.081071
W10 6JE,EC2Y 8BN,33.38333333333333,51.517412,-0.213376
E14 4EF,EC2Y 8BN,23.366666666666667,51.507393,-0.021175
NW1 9SX,EC2Y 8BN,27.966666666666665,51.542407,-0.132849
SE1 8YS,EC1Y 4SB,30.833333333333332,51.505483,-0.114849
E2 0HJ,EC1Y 4SB,16.133333333333333,51.526934,-0.053933
E17 6BT,EC1Y 4SB,42.8,51.591665,-0.036326
E3 2AQ,EC1Y 4SB,25.3,51.528658,-0.024737
N1 9QD,N1 7QQ,16.766666666666666,51.532264,-0.11269
N22 7XH,N1 7QQ,42.016666666666666,51.59957,-0.132758
SE15 3UE,N1 7QQ,48.28333333333333,51.4613,-0.059029
SW5 0PH,N1 7QQ,43.4,51.49323,-0.18986
SW16 6SW,N1 7QQ,54.81666666666667,51.42564,-0.14768199999999998
N15 3LR,N1 7QQ,44.38333333333333,51.589036,-0.095584
NW2 4NT,N1 7QQ,44.016666666666666,51.55223,-0.220493
W2 4BQ,N1 7QQ,39.36666666666667,51.514978,-0.191304
NW6 2EB,N1 7QQ,40.083333333333336,51.547265,-0.202096
SE13 7NB,N1 7NW,42.666666666666664,51.469697,-0.01434
E5 0JE,N1 7NW,50.13333333333333,51.552334,-0.040633
SW7 5HR,N1 7NW,42.5,51.497531,-0.180124
N15 4SH,N1 7NW,30.383333333333333,51.586201,-0.07558
SW4 8LG,N1 7NW,40.9,51.451855,-0.133063
SW16 5QW,N1 7NW,55.233333333333334,51.409355,-0.13134400000000002
W14 0BJ,N1 7NW,45.3,51.50029,-0.221062
SE27 9LF,N1 7NW,52.43333333333333,51.434397,-0.100972
